mention,entity_type,start,end,source_file,entity_id,kb_name,kb_type,link_score,normalized_entity,disambiguation_confidence,disambiguation_method,source
图灵,PER,7,9,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
OBE,PROD,10,13,input.txt,E_PROD_OBE,大英帝国勋章,PROD,0.668665,大英帝国勋章,0.668665,char_tfidf_surface+context_rerank,kb_dict
Alan Mathison Turing,PER,21,41,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,ner
阿兰·图灵,PER,44,49,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
英国,LOC,90,92,input.txt,E_LOC_UK,英国,LOC,0.671863,英国,0.671863,char_tfidf_surface+context_rerank,ner
Hut 8,ORG,151,156,input.txt,E_ORG_HUT8,Hut 8,ORG,0.72505,Hut 8,0.72505,char_tfidf_surface+context_rerank,kb_dict
Bombe,PROD,205,210,input.txt,E_PROD_BOMBE,Bombe,PROD,0.712939,Bombe,0.712939,char_tfidf_surface+context_rerank,ner
恩尼格玛密码机,PROD,217,224,input.txt,E_PROD_ENIGMA,恩尼格玛密码机,PROD,0.699866,恩尼格玛密码机,0.699866,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,233,235,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,ner
图灵,PER,305,307,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,ner
图灵,PER,324,326,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
计算机器和智能,PROD,334,341,input.txt,E_PROD_CMI,计算机器和智能,PROD,0.730368,计算机器和智能,0.730368,char_tfidf_surface+context_rerank,kb_dict
机器会思考吗,PROD,349,355,input.txt,E_PROD_CMT,机器会思考吗,PROD,0.719968,机器会思考吗,0.719968,char_tfidf_surface+context_rerank,kb_dict
Can Machines Think?,PROD,358,377,input.txt,E_PROD_CMT,机器会思考吗,PROD,0.719968,机器会思考吗,0.719968,char_tfidf_surface+context_rerank,kb_dict
图灵测试,PROD,402,406,input.txt,E_PROD_TT,图灵测试,PROD,0.698898,图灵测试,0.698898,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,426,428,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,ner
图灵机,PROD,434,437,input.txt,E_PROD_TM,图灵机,PROD,0.709511,图灵机,0.709511,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,460,462,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,ner
英国政府,ORG,482,486,input.txt,E_ORG_GOV_UK,英国政府,ORG,0.679056,英国政府,0.679056,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,508,510,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,ner
汤姆·理查兹,PER,596,602,input.txt,E_PER_RICHARDS,Thomas Richards,PER,0.733103,Thomas Richards,0.733103,char_tfidf_surface+context_rerank,kb_dict
图灵,PER,619,621,input.txt,E_PER_TURING,艾伦·图灵,PER,0.71711,艾伦·图灵,0.71711,char_tfidf_surface+context_rerank,kb_dict
朱利斯·麦席森·图灵,PER,624,634,input.txt,E_PER_JULIUS,朱利斯·麦席森·图灵,PER,0.711658,朱利斯·麦席森·图灵,0.711658,char_tfidf_surface+context_rerank,kb_dict
