entity,entity_type,start,end,source_file,source
图灵,PER,7,9,input.txt,kb_dict
OBE,PROD,10,13,input.txt,kb_dict
Alan Mathison Turing,PER,21,41,input.txt,ner
阿兰·图灵,PER,44,49,input.txt,kb_dict
英国,LOC,90,92,input.txt,ner
Hut 8,ORG,151,156,input.txt,kb_dict
Bombe,PROD,205,210,input.txt,ner
恩尼格玛密码机,PROD,217,224,input.txt,kb_dict
图灵,PER,233,235,input.txt,ner
图灵,PER,305,307,input.txt,ner
图灵,PER,324,326,input.txt,kb_dict
计算机器和智能,PROD,334,341,input.txt,kb_dict
机器会思考吗,PROD,349,355,input.txt,kb_dict
Can Machines Think?,PROD,358,377,input.txt,kb_dict
图灵测试,PROD,402,406,input.txt,kb_dict
图灵,PER,426,428,input.txt,ner
图灵机,PROD,434,437,input.txt,kb_dict
图灵,PER,460,462,input.txt,ner
英国政府,ORG,482,486,input.txt,kb_dict
图灵,PER,508,510,input.txt,ner
汤姆·理查兹,PER,596,602,input.txt,kb_dict
图灵,PER,619,621,input.txt,kb_dict
朱利斯·麦席森·图灵,PER,624,634,input.txt,kb_dict
Julius Mathison Turing,PER,635,657,input.txt,ner
印度,LOC,663,665,input.txt,kb_dict
图灵,PER,676,678,input.txt,ner
Ethel Sara Stoney,PER,681,698,input.txt,kb_dict
印度,LOC,701,703,input.txt,kb_dict
英国,LOC,716,718,input.txt,kb_dict
伦敦,LOC,725,727,input.txt,kb_dict
帕丁顿,LOC,730,733,input.txt,kb_dict
印度,LOC,766,768,input.txt,kb_dict
印度,LOC,773,775,input.txt,kb_dict
图灵,PER,801,803,input.txt,ner
吉尔福德,LOC,840,844,input.txt,regex
图灵,PER,852,854,input.txt,ner
圣迈克尔,ORG,900,904,input.txt,ner
St. Michael,ORG,905,916,input.txt,ner
马尔伯勒学院,ORG,943,949,input.txt,ner
舍伯恩学校,ORG,983,988,input.txt,kb_dict
图灵,PER,1008,1010,input.txt,ner
南安普顿,LOC,1026,1030,input.txt,ner
图灵,PER,1063,1065,input.txt,ner
图灵,PER,1116,1118,input.txt,ner
图灵,PER,1180,1182,input.txt,ner
阿尔伯特·爱因斯坦,PER,1193,1202,input.txt,kb_dict
爱因斯坦,PER,1219,1223,input.txt,kb_dict
爱因斯坦,PER,1237,1241,input.txt,kb_dict
剑桥大学,ORG,1267,1271,input.txt,input_dict
国王学院,ORG,1271,1275,input.txt,kb_dict
图灵,PER,1282,1284,input.txt,kb_dict
图灵,PER,1293,1295,input.txt,ner
剑桥大学,ORG,1297,1301,input.txt,input_dict
国王学院,ORG,1301,1305,input.txt,kb_dict
国王学院,ORG,1366,1370,input.txt,kb_dict
图灵,PER,1385,1387,input.txt,kb_dict
图灵,PER,1443,1445,input.txt,ner
On Computable Numbers,PROD,1474,1495,input.txt,kb_dict
图灵机,PROD,1585,1588,input.txt,kb_dict
图灵机,PROD,1621,1624,input.txt,kb_dict
图灵,PER,1640,1642,input.txt,ner
图灵机,PROD,1680,1683,input.txt,kb_dict
图灵机,PROD,1723,1726,input.txt,kb_dict
图灵机,PROD,1755,1758,input.txt,kb_dict
比阿隆佐·邱奇,PER,1770,1777,input.txt,kb_dict
图灵,PER,1796,1798,input.txt,ner
图灵,PER,1816,1818,input.txt,ner
图灵,PER,1889,1891,input.txt,ner
普林斯顿大学,ORG,1898,1904,input.txt,kb_dict
普林斯顿,LOC,2026,2030,input.txt,regex
图灵机,PROD,2085,2088,input.txt,kb_dict
图灵机,PROD,2107,2110,input.txt,kb_dict
冯·诺依曼,PER,2118,2123,input.txt,kb_dict
图灵,PER,2127,2129,input.txt,kb_dict
英国,LOC,2147,2149,input.txt,kb_dict
图灵,PER,2161,2163,input.txt,kb_dict
剑桥,LOC,2165,2167,input.txt,regex
Foundations of mathematics,PROD,2185,2211,input.txt,ner
图灵,PER,2224,2226,input.txt,ner
图灵,PER,2281,2283,input.txt,ner
布莱切利庄园,LOC,2284,2290,input.txt,kb_dict
Asa Briggs,PER,2315,2325,input.txt,kb_dict
布莱切利,LOC,2342,2346,input.txt,kb_dict
图灵,PER,2351,2353,input.txt,ner
图灵,PER,2377,2379,input.txt,ner
英国,LOC,2380,2382,input.txt,kb_dict
政府密码和密码学校,ORG,2388,2397,input.txt,kb_dict
GC&CS,ORG,2398,2403,input.txt,kb_dict
GC&CS,ORG,2413,2418,input.txt,kb_dict
第利温·诺克斯,PER,2423,2430,input.txt,kb_dict
恩尼格玛密码机,PROD,2441,2448,input.txt,kb_dict
华沙,LOC,2475,2477,input.txt,regex
英国,LOC,2484,2486,input.txt,kb_dict
恩尼格玛密码机,PROD,2492,2499,input.txt,kb_dict
恩尼格玛密码机,PROD,2512,2519,input.txt,kb_dict
图灵,PER,2531,2533,input.txt,ner
诺克斯,PER,2534,2537,input.txt,kb_dict
图灵,PER,2575,2577,input.txt,kb_dict
恩尼格玛,PROD,2588,2592,input.txt,kb_dict
图灵,PER,2630,2632,input.txt,kb_dict
英国皇家海军,ORG,2633,2639,input.txt,kb_dict
英国,LOC,2644,2646,input.txt,kb_dict
军情六处,ORG,2646,2650,input.txt,kb_dict
恩尼格玛密码机,PROD,2689,2696,input.txt,kb_dict
军情六处,ORG,2706,2710,input.txt,kb_dict
军情六处,ORG,2728,2732,input.txt,kb_dict
图灵,PER,2740,2742,input.txt,kb_dict
图灵,PER,2791,2793,input.txt,ner
The Applications of Probability to Cryptography,PROD,2825,2872,input.txt,ner
Paper on Statistics of Repetitions,PROD,2877,2911,input.txt,ner
GC&CS,ORG,2919,2924,input.txt,kb_dict
GCHQ,ORG,2930,2934,input.txt,kb_dict
英国,LOC,2963,2965,input.txt,kb_dict
GCHQ,ORG,2987,2991,input.txt,kb_dict
官方保密法,PROD,3014,3019,input.txt,input_dict
GCHQ,ORG,3157,3161,input.txt,kb_dict
图灵,PER,3201,3203,input.txt,ner
布莱切利庄园,LOC,3204,3210,input.txt,kb_dict
恩尼格玛密码机,PROD,3243,3250,input.txt,kb_dict
Ronald Lewin,PER,3279,3291,input.txt,kb_dict
图灵,PER,3296,3298,input.txt,kb_dict
小屋8,ORG,3468,3471,input.txt,kb_dict
图灵,PER,3473,3475,input.txt,kb_dict
图灵,PER,3673,3675,input.txt,kb_dict
Nova PBS纪录片《解码纳粹秘密》,PROD,3729,3748,input.txt,kb_dict
在布莱奇利庄园,ORG,3765,3772,input.txt,regex
图灵,PER,3777,3779,input.txt,ner
伦敦,LOC,3820,3822,input.txt,kb_dict
图灵,PER,3851,3853,input.txt,ner
英国,LOC,3861,3863,input.txt,kb_dict
英国,LOC,3895,3897,input.txt,kb_dict
托马斯·理查兹,PER,3901,3908,input.txt,kb_dict
Thomas Richards,PER,3909,3924,input.txt,kb_dict
沃尔顿竞技俱乐部,ORG,3951,3959,input.txt,kb_dict
布莱切利庄园,LOC,4169,4175,input.txt,kb_dict
官方保密法,PROD,4193,4198,input.txt,input_dict
图灵,PER,4237,4239,input.txt,kb_dict
乔治六世,PER,4248,4252,input.txt,kb_dict
大英帝国勋章,PROD,4257,4263,input.txt,kb_dict
OBE,PROD,4264,4267,input.txt,kb_dict
图灵测试,PROD,4312,4316,input.txt,kb_dict
布莱切利庄园,LOC,4319,4325,input.txt,kb_dict
图灵,PER,4326,4328,input.txt,kb_dict
图灵测试,PROD,4339,4343,input.txt,kb_dict
图灵,PER,4356,4358,input.txt,ner
国家物理实验室,ORG,4359,4366,input.txt,kb_dict
自动计算引擎,PROD,4368,4374,input.txt,kb_dict
ACE,PROD,4375,4378,input.txt,kb_dict
曼彻斯特大学计算机实验室,ORG,4394,4406,input.txt,kb_dict
曼彻斯特一号,PROD,4424,4430,input.txt,kb_dict
计算机械和智能,PROD,4458,4465,input.txt,kb_dict
图灵,PER,4467,4469,input.txt,ner
图灵测试,PROD,4487,4491,input.txt,kb_dict
图灵,PER,4526,4528,input.txt,ner
新墨西哥州洛斯阿拉莫斯国家实验室,ORG,4609,4625,input.txt,kb_dict
图灵,PER,4631,4633,input.txt,kb_dict
ENIAC,PROD,4638,4643,input.txt,kb_dict
洛斯阿拉莫斯象棋,PROD,4664,4672,input.txt,kb_dict
图灵,PER,4700,4702,input.txt,ner
形态发生的化学基础,PROD,4730,4739,input.txt,kb_dict
The Chemical Basis of Morphogenesis,PROD,4744,4779,input.txt,ner
艾伦·图灵选集,PROD,4864,4871,input.txt,input_dict
图灵,PER,4933,4935,input.txt,ner
东柴郡,LOC,4936,4939,input.txt,regex
威姆斯洛,LOC,4939,4943,input.txt,regex
图灵,PER,4956,4958,input.txt,kb_dict
图灵,PER,5003,5005,input.txt,kb_dict
英国,LOC,5013,5015,input.txt,kb_dict
图灵,PER,5158,5160,input.txt,kb_dict
图灵,PER,5177,5179,input.txt,ner
Ethel Sara Stoney,PER,5223,5240,input.txt,kb_dict
图灵,PER,5253,5255,input.txt,kb_dict
英国首相戈登·布朗,PER,5318,5327,input.txt,kb_dict
每日电讯报,ORG,5329,5334,input.txt,kb_dict
英国政府,ORG,5340,5344,input.txt,kb_dict
图灵,PER,5356,5358,input.txt,kb_dict
图灵,PER,5375,5377,input.txt,kb_dict
英国政府,ORG,5415,5419,input.txt,kb_dict
图灵,PER,5421,5423,input.txt,kb_dict
英国,LOC,5436,5438,input.txt,kb_dict
